0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	2
19	3
20	5
21	7
22	6
23	15
24	14
25	15
26	16
27	33
28	55
29	216
30	753
31	877
32	1435
33	1379
34	1054
35	1324
36	1862
37	1868
38	1641
39	1646
40	1691
41	1913
42	1511
43	1367
44	1871
45	2173
46	2342
47	2197
48	1901
49	1759
50	1225
51	1019
52	930
53	753
54	712
55	773
56	813
57	639
58	644
59	654
60	611
61	766
62	936
63	985
64	1073
65	1127
66	1006
67	755
68	666
69	607
70	573
71	457
72	320
73	312
74	323
75	356
76	262
77	143
78	89
79	85
80	74
81	78
82	69
83	62
84	64
85	65
86	54
87	44
88	62
89	58
90	54
91	44
92	58
93	46
94	43
95	41
96	39
97	46
98	43
99	37
100	43
101	58
102	36
103	30
104	22
105	33
106	21
107	32
108	23
109	28
110	27
111	22
112	28
113	25
114	24
115	26
116	32
117	25
118	26
119	29
120	24
121	20
122	26
123	19
124	27
125	21
126	23
127	27
128	33
129	28
130	20
131	24
132	39
133	18
134	30
135	30
136	36
137	35
138	29
139	33
140	51
141	38
142	38
143	46
144	66
145	48
146	55
147	69
148	94
149	105
150	151
151	198
152	245
153	378
154	603
155	1005
156	2085
157	4118
158	680
159	330
160	192
161	76
162	47
163	19
164	8
165	7
166	2
167	2
168	2
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
